"Taqueria Lupita's","Mexican",4
"El Asador","Steakhouses",4
"Detroit Vegan Soul","Vegetarian",4
"Detroit Vegan Soul","Soul Food",4
"Great Lakes Coffee Roasting Company","Beer, Wine & Spirits",4
"Great Lakes Coffee Roasting Company","Coffee Roasteries",4
"Detroit Shipping Company","Food Court",4
"Detroit Shipping Company","Beer Gardens",4
"Detroit Vegan Soul","Vegan",4
"Rocco's Italian Deli","Italian",4.5
"Rocco's Italian Deli","Sandwiches",4.5
"Rocco's Italian Deli","Salad",4.5
"Seva Detroit","Vegetarian",3.5
"Seva Detroit","Vegan",3.5
"RiverWalk","Parks",4.5
"San Morello","Italian",4
"Texas de Brazil","Brazilian",3.5
"Texas de Brazil","Steakhouses",3.5
"Texas de Brazil","Venues & Event Spaces",3.5
"Belle Isle Park","Parks",4.5
"Cannelle Matt Knio","Coffee & Tea",4.5
"Cannelle Matt Knio","Bakeries",4.5
"Cannelle Matt Knio","Sandwiches",4.5
"Detroit 75 Kitchen","Food Trucks",4.5
"Detroit 75 Kitchen","American (Traditional)",4.5
"Detroit 75 Kitchen","Sandwiches",4.5
"Detroit Water Ice Factory","Ice Cream & Frozen Yogurt",4.5
"Detroit Water Ice Factory","Shaved Ice",4.5
"Detroit Water Ice Factory","Popcorn Shops",4.5
"The London Chop House","Steakhouses",4
"Cliff Bell's","Bars",3.5
"Cliff Bell's","Jazz & Blues",3.5
"The London Chop House","Cigar Bars",4
"The London Chop House","Cocktail Bars",4
"Cliff Bell's","American (New)",3.5
"Duly's Place","Diners",4.5
"Gus's World Famous Fried Chicken","Southern",4
"Gus's World Famous Fried Chicken","Comfort Food",4
"Gus's World Famous Fried Chicken","Chicken Shop",4
"Mootz Pizzeria + Bar","Pizza",4
"Mootz Pizzeria + Bar","Bars",4
"Narrow Way Cafe & Shop","Bakeries",5
"Narrow Way Cafe & Shop","Juice Bars & Smoothies",5
"The Skip","Cocktail Bars",4
"Narrow Way Cafe & Shop","Cafes",5
"The Skip","Beer Bar",4
"Lumen Detroit","American (New)",4
"Charles H Wright Museum of African American Histor","Museums",5
"Michigan & Trumbull","Pizza",4.5
"Michigan & Trumbull","Wine Bars",4.5
"Michigan & Trumbull","Cocktail Bars",4.5
"Jacoby's German Biergarten","German",4
"Jacoby's German Biergarten","Pubs",4
"Eastern Market Brewing Company","Breweries",4.5
"Eastern Market Brewing Company","Beer Bar",4.5
"Eastern Market Brewing Company","Pubs",4.5
"The Jamaican Pot","Soul Food",4
"Spread Detroit","Delis",4.5
"Spread Detroit","Coffee & Tea",4.5
"Detroit Historical Museum","Museums",4.5
"Prime and Proper","Steakhouses",4
"Flowers of Vietnam","Vietnamese",4
"The Jamaican Pot","Caribbean",4
"Spread Detroit","American (Traditional)",4.5
"The Peterboro","Chinese",4
"The Peterboro","Cocktail Bars",4
"Downtown Louie's","American (Traditional)",4
"Downtown Louie's","Lounges",4
"Downtown Louie's","Cocktail Bars",4
"Cafe D'Mongo's Speakeasy","Speakeasies",4
"The Bronx Bar","Dive Bars",4
"Yum Village","Caribbean",4.5
"Yum Village","African",4.5
"Yum Village","Personal Chefs",4.5
"Dessert Oasis Coffee Roasters - Detroit","Coffee Roasteries",4.5
"Dessert Oasis Coffee Roasters - Detroit","Music Venues",4.5
"La Dolce Vita","Italian",3.5
"La Dolce Vita","Breakfast & Brunch",3.5
"The Bronx Bar","Burgers",4
"Dessert Oasis Coffee Roasters - Detroit","Desserts",4.5
"Basement Burger Bar","American (Traditional)",4
"Basement Burger Bar","Burgers",4
"Basement Burger Bar","Salad",4
"Baobab Fare","Coffee & Tea",5
"Baobab Fare","African",5
"Baobab Fare","Juice Bars & Smoothies",5
"Babo Detroit","American (New)",4.5
"Babo Detroit","Breakfast & Brunch",4.5
"Pegasus Taverna - Greektown","Greek",3.5
"Rusted Crow Detroit","Cocktail Bars",3.5
"Rusted Crow Detroit","Burgers",3.5
"Rusted Crow Detroit","Sandwiches",3.5
"Boostan Cafe","American (Traditional)",5
"Boostan Cafe","Middle Eastern",5
"Boostan Cafe","Juice Bars & Smoothies",5
"Go! Sy Thai","Thai",3.5
"Polish Village Cafe","Polish",4
"Polish Village Cafe","Desserts",4
"Polish Village Cafe","Salad",4
"Anna Scripps Whitcomb Conservatory","Botanical Gardens",5
"Sweetwater Tavern","Bars",3.5
"Sweetwater Tavern","American (Traditional)",3.5
"Sweetwater Tavern","Chicken Wings",3.5
"The Whitney","Cocktail Bars",3.5
"The Whitney","American (New)",3.5
"The Whitney","Venues & Event Spaces",3.5
"The Royce","Wine Bars",4.5
"The Royce","Wine Tasting Classes",4.5
"The Royce","Venues & Event Spaces",4.5
"Stache International","Breakfast & Brunch",4
"Stache International","Dive Bars",4
"Stache International","Sandwiches",4
"Pho Lucky - Detroit","Vietnamese",4
"Willis Show Bar","Music Venues",4.5
"Willis Show Bar","Cocktail Bars",4.5
"Willis Show Bar","Dance Clubs",4.5
"Central Kitchen + Bar","American (Traditional)",3.5
"Central Kitchen + Bar","Gastropubs",3.5
"Central Kitchen + Bar","Cocktail Bars",3.5
"Castalia","Cocktail Bars",5
"Red Smoke Barbecue","Barbeque",3.5
"ASHE Coffee","Accessories",4.5
"ASHE Coffee","Coffee & Tea",4.5
"ASHE Coffee","Men's Clothing",4.5
"Bangkok 96 Street Food","Thai",4.5
"Bangkok 96 Street Food","Food Stands",4.5
"Townhouse","American (New)",3
"Townhouse","Bars",3
"Bangkok 96 Street Food","Asian Fusion",4.5
"Bad Luck Bar","Cocktail Bars",4
"Guardian Building","Landmarks & Historical Buildings",5
"Guardian Building","Venues & Event Spaces",5
"Kuzzos Chicken & Waffles","Southern",3.5
"Kuzzos Chicken & Waffles","Waffles",3.5
"Kuzzos Chicken & Waffles","Breakfast & Brunch",3.5
"PAO Detroit","Asian Fusion",4
"PAO Detroit","Pan Asian",4
"Firebird Tavern","American (New)",4
"Firebird Tavern","Sports Bars",4
"Firebird Tavern","Venues & Event Spaces",4
"La Palma","Middle Eastern",4
"La Palma","Mediterranean",4
"Tommy's Detroit Bar & Grill","American (Traditional)",4.5
"Tommy's Detroit Bar & Grill","Bars",4.5
